match_id,match_date,opponent,home_away,starting_position,minutes,events_analysed,touches_proxy,located_touches_proxy,receptions,located_receptions,avg_touch_x,avg_touch_y,avg_reception_x,avg_reception_y,left_wing_share,left_halfspace_share,centre_share,right_halfspace_share,right_wing_share,left_share,central_share,right_share,halfspace_share,final_third_involvement,final_third_share,passes,carries,shots,pressures,tackles,interceptions,recoveries,passes_completed,pass_completion,forward_passes,passes_unknown_endpoints,progressive_passes,passes_final_third_entry,passes_penalty_area_entry,carries_unknown_endpoints,progressive_carries,carries_final_third_entry,carries_penalty_area_entry,final_third_entries,penalty_area_entries,defensive_actions,touches_proxy_p90,receptions_p90,passes_p90,carries_p90,shots_p90,progressive_passes_p90,progressive_carries_p90,defensive_actions_p90,nearest_defender_distance,shot_assists,xg
statsbomb:match:3895052,2023-08-19,RB Leipzig,home,Left Wing,77.60658333333335,125,96,96,39,39,63.580729166666664,38.490885416666664,63.30128205128205,39.39102564102564,0.3541666666666667,0.19791666666666666,0.1875,0.14583333333333334,0.11458333333333333,0.5520833333333334,0.1875,0.2604166666666667,0.34375,48,0.5,30,23,2,13,0,0,0,24,0.8,18,0,0,1,1,0,4,1,2,2,3,13,111.33076124340823,45.228121755134595,34.79086288856507,26.672994881233222,2.3193908592376715,0.0,4.638781718475343,15.076040585044865,,0,0.44963343
statsbomb:match:3895060,2023-08-26,Borussia Mönchengladbach,away,Left Wing,99.82418333333334,285,239,239,77,77,63.60146443514645,34.19665271966527,63.01839826839827,34.62337662337662,0.3305439330543933,0.3138075313807531,0.16317991631799164,0.14225941422594143,0.0502092050209205,0.6443514644351465,0.16317991631799164,0.19246861924686193,0.4560669456066946,113,0.47280334728033474,75,83,1,12,1,0,6,60,0.8,43,0,11,4,8,0,8,8,2,12,10,19,215.47884772744612,69.42205554398892,67.61888527011908,74.83156636559845,0.901585136934921,9.917436506284131,7.212681095479368,17.1301176017635,,8,0.03490053
statsbomb:match:3895067,2023-09-02,Darmstadt 98,home,Left Wing,83.51086666666667,250,218,218,74,74,67.60015290519878,34.25630733944954,66.6204954954955,33.52533783783784,0.2706422018348624,0.3761467889908257,0.23394495412844038,0.0963302752293578,0.022935779816513763,0.6467889908256881,0.23394495412844038,0.11926605504587157,0.4724770642201835,132,0.6055045871559633,64,72,2,11,0,0,1,52,0.8125,32,0,8,3,3,0,6,6,1,9,4,12,234.93948492132358,79.75010038613736,68.9730597934161,77.59469226759312,2.155408118544253,8.621632474177012,6.466224355632759,12.932448711265518,,2,0.09058177
statsbomb:match:3895074,2023-09-15,Bayern Munich,away,Left Wing,,278,206,206,64,64,55.0299352750809,46.289441747572816,55.31640625,44.39453125,0.25728155339805825,0.1796116504854369,0.1650485436893204,0.2524271844660194,0.14563106796116504,0.4368932038834951,0.1650485436893204,0.39805825242718446,0.4320388349514563,60,0.2912621359223301,65,71,1,32,1,0,11,54,0.8307692307692308,40,0,9,5,5,0,8,5,0,10,5,44,,,,,,,,,,3,0.36008543
statsbomb:match:3895086,2023-09-24,FC Heidenheim,home,Left Attacking Midfield,71.62228333333333,208,161,161,54,54,66.09213250517598,34.93944099378882,65.85339506172839,37.550925925925924,0.38509316770186336,0.2732919254658385,0.14906832298136646,0.09937888198757763,0.09316770186335403,0.6583850931677019,0.14906832298136646,0.19254658385093168,0.37267080745341613,87,0.5403726708074534,56,46,3,17,2,0,7,50,0.8928571428571429,26,0,7,6,2,0,4,3,1,9,3,26,202.3113383939868,67.85597685264153,70.36916118051715,57.803239541139085,3.7697764918134187,8.796145147564644,5.026368655751225,32.67139626238296,,3,0.273933553
statsbomb:match:3895095,2023-09-30,FSV Mainz 05,away,Right Attacking Midfield,64.90073333333333,135,78,78,25,25,60.55982905982906,52.90384615384615,61.15,51.04,0.11538461538461539,0.21794871794871795,0.2692307692307692,0.20512820512820512,0.19230769230769232,0.3333333333333333,0.2692307692307692,0.3974358974358974,0.4230769230769231,33,0.4230769230769231,26,25,0,31,0,0,4,21,0.8076923076923077,13,0,1,2,0,0,2,3,1,5,1,35,108.16518765581488,34.668329376863745,36.05506255193829,34.668329376863745,0.0,1.3867331750745497,2.7734663501490995,48.53566112760924,,0,0
statsbomb:match:3895107,2023-10-08,FC Köln,home,Left Attacking Midfield,74.86361666666667,219,165,165,54,54,65.63030303030303,30.897727272727273,64.05401234567901,29.52314814814815,0.4303030303030303,0.2727272727272727,0.14545454545454545,0.10303030303030303,0.048484848484848485,0.703030303030303,0.14545454545454545,0.15151515151515152,0.37575757575757573,80,0.48484848484848486,50,54,5,25,2,0,7,42,0.84,19,0,3,1,1,0,4,5,0,6,1,34,198.3607079273265,64.91804986712503,60.10930543252318,64.91804986712503,6.010930543252318,3.606558325951391,4.808744434601855,40.87432769411576,,1,0.205003153
statsbomb:match:3895113,2023-10-21,Wolfsburg,away,,34.73116666666667,130,102,102,31,31,61.182189542483655,55.22549019607843,59.23655913978495,55.13306451612903,0.10784313725490197,0.22549019607843138,0.23529411764705882,0.21568627450980393,0.21568627450980393,0.3333333333333333,0.23529411764705882,0.43137254901960786,0.4411764705882353,39,0.38235294117647056,30,36,2,13,0,0,1,25,0.8333333333333334,21,0,4,4,2,0,2,4,0,8,2,14,264.31591222101184,80.33130665540557,77.73997418265056,93.28796901918066,5.182664945510036,10.365329891020073,5.182664945510036,36.27865461857026,,0,0.10275764700000001
statsbomb:match:3895121,2023-10-29,Freiburg,home,Left Attacking Midfield,91.14146666666666,212,168,168,54,54,66.88392857142857,37.09970238095238,66.1574074074074,37.138888888888886,0.27976190476190477,0.36904761904761907,0.16666666666666666,0.125,0.05952380952380952,0.6488095238095238,0.16666666666666666,0.18452380952380953,0.49404761904761907,83,0.49404761904761907,53,52,3,13,1,1,6,48,0.9056603773584906,20,0,3,2,3,0,10,8,3,10,6,21,165.89594783786671,53.3236975193143,52.336221639327,51.3487457593397,2.9624276399619056,2.9624276399619056,9.87475879987302,20.73699347973334,,2,0.219582736
statsbomb:match:3895134,2023-11-04,Hoffenheim,away,Left Attacking Midfield,92.90441666666666,229,162,162,56,56,62.75668724279836,38.11651234567901,63.325892857142854,37.65625,0.36419753086419754,0.19753086419753085,0.16049382716049382,0.1728395061728395,0.10493827160493827,0.5617283950617284,0.16049382716049382,0.2777777777777778,0.37037037037037035,73,0.4506172839506173,52,49,1,36,0,0,4,45,0.8653846153846154,23,0,5,3,2,0,4,4,1,7,3,40,156.93548835586395,54.24930461684186,50.37435428706745,47.46814153973663,0.9687375824436048,4.843687912218024,3.874950329774419,38.74950329774419,,1,0.4335934
