match_id,event_id,x,y,outcome,xg
statsbomb:match:3895244,e117102c-d4c1-4610-ab08-c7877441d742,83.75,50.625,SAVED,0.09992166
statsbomb:match:3895244,56a9f9f7-e9be-476d-bbff-f585f20f6a71,93.16666666666666,65.25000000000001,POST,0.14015244
statsbomb:match:3895250,b5e4dcaf-2007-4435-9c52-8d97f8ad39e4,91.91666666666667,40.75,OFF_T,0.045675185
statsbomb:match:3895250,d0be8f04-8249-45de-95ab-bd5eded22cd7,88.25,30.125,BLOCKED,0.035352517
statsbomb:match:3895250,14341980-96ef-414d-ab4e-7e3165c8ec75,83.75,35.0,OFF_T,0.051675532
statsbomb:match:3895258,54b69050-a308-4011-8cb5-e0f5d1ef5413,96.08333333333333,32.75,SAVED,0.025314098
statsbomb:match:3895258,3aa1c41c-d7d7-4fa5-9071-3492d7801027,94.16666666666667,30.874999999999996,SAVED,0.018504012
statsbomb:match:3895258,c6eb6107-09bc-47fd-9f30-da9955b7d608,79.66666666666666,34.5,SAVED,0.02803977
statsbomb:match:3895258,b5b6cc88-4ee2-44ad-bb7e-a2ea8e358883,89.58333333333334,63.5,BLOCKED,0.048773732
statsbomb:match:3895266,2b5389b6-bead-485d-b352-68a649932b7f,95.58333333333333,38.75,SAVED_TO_POST,0.14104629
statsbomb:match:3895266,4f33d4ba-8fee-4ba0-ac0b-2c7fb688004f,74.41666666666666,37.5,BLOCKED,0.02511887
statsbomb:match:3895266,8d63447c-9e8d-47a4-a40b-744d0d5d3750,92.08333333333333,43.75,GOAL,0.17132688
statsbomb:match:3895275,0b7cd6e5-2ab6-46d0-b7d3-4e5b4a43513b,86.66666666666667,36.625,GOAL,0.085923634
statsbomb:match:3895275,8504fc44-1916-4c83-8c82-0588d155fa48,95.0,48.875,POST,0.43475327
statsbomb:match:3895286,7880f03f-39e3-42d7-8e08-93b528d444f4,81.66666666666667,37.875,OFF_T,0.038797267
statsbomb:match:3895286,ead90328-cf19-4c93-862e-477bba4ecfeb,93.58333333333333,65.99999999999999,SAVED,0.036589272
statsbomb:match:3895286,eabde875-fb9a-4f5e-8c5e-887f3a596247,88.91666666666667,31.75,BLOCKED,0.053672522
statsbomb:match:3895292,0b766590-dff1-4670-baae-b960fab33f6d,84.58333333333333,55.75,BLOCKED,0.058214318
statsbomb:match:3895292,f5dea30a-5df6-4639-94dd-8319d9c8b256,90.0,50.0,GOAL,0.7835
statsbomb:match:3895302,df7d8278-f139-4102-9e6e-3c77d3d575c3,78.16666666666666,43.49999999999999,OFF_T,0.02420186
statsbomb:match:3895302,7b3398ab-6dae-42ec-8b11-0cd333d6b085,88.58333333333334,37.0,BLOCKED,0.07621976
statsbomb:match:3895302,5085715b-09f6-403c-8b67-a546bcfed0ec,77.91666666666667,50.125,GOAL,0.042012483
statsbomb:match:3895302,4a223f2d-3c3f-4655-b561-9c43a03b0f42,86.33333333333333,43.75,GOAL,0.43832713
statsbomb:match:3895302,dcc0c591-7ebd-4e42-8206-04bfefa94f33,88.66666666666667,61.0,GOAL,0.28999847
statsbomb:match:3895348,24975a3f-1c57-4475-9149-57d99cd2be53,86.75,60.75000000000001,BLOCKED,0.061963774
statsbomb:match:3895348,a5c5a158-167f-4541-a86f-ec5374736ec8,77.91666666666667,37.5,OFF_T,0.030079998
statsbomb:match:3895348,4cb3184a-f70b-4c7c-aad7-e105370c2c3c,89.91666666666667,53.75,SAVED,0.107969604
