player_id,player_name,located_touches_proxy,x,y
statsbomb:player:27133,Odilon Kossonou,3833,48.47956344029915,79.44296243151578
statsbomb:player:30606,Edmond Fayçal Tapsoba,5255,42.78082778306375,37.00030922930542
statsbomb:player:32712,Jeremie Frimpong,3178,67.40135305223411,84.50094398993078
statsbomb:player:8804,Jonas Hofmann,4191,64.94092499801161,63.46710212359819
statsbomb:player:3500,Granit Xhaka,9117,53.124282475960655,48.44954480640562
statsbomb:player:28268,Exequiel Alejandro Palacios,5622,52.61360132811574,47.386383849164
statsbomb:player:40724,Florian Wirtz,5655,65.34419392867669,42.604885057471265
statsbomb:player:32289,Victor Okoh Boniface,1630,69.76569529652352,37.762193251533745
statsbomb:player:10336,Alejandro Grimaldo García,5637,60.641742061380164,19.4605729998226
statsbomb:player:8221,Jonathan Tah,5779,42.32011016900271,56.47966776258868
statsbomb:player:8667,Lukáš Hrádecký,1845,9.815943992773262,50.200745257452574
statsbomb:player:9195,Robert Andrich,3932,49.82273652085453,50.64550483214649
statsbomb:player:28239,Adam Hložek,543,63.80939226519337,46.80778084714549
statsbomb:player:49337,Josip Stanišić,2883,51.30139322465025,82.06889524800555
statsbomb:player:41411,Nathan Tella,1097,68.96300516560316,72.32349589790337
statsbomb:player:33401,Amine Adli,1419,66.737197556965,34.68736786469345
statsbomb:player:38004,Piero Martín Hincapié Reyna,3866,45.44427918606657,21.755852302121056
statsbomb:player:7044,Patrik Schick,810,69.60823045267489,52.382407407407406
