player_id,player_name,match_id,match_date,minutes,nominal_position,starting_position,formation,PC1,PC2
statsbomb:player:28268,Exequiel Alejandro Palacios,statsbomb:match:3895074,2023-09-15,53.409366666666656,Right Defensive Midfield,,,0.2493797240274604,-0.056170324501564915
statsbomb:player:30606,Edmond Fayçal Tapsoba,statsbomb:match:3895074,2023-09-15,91.36468333333332,Left Center Back,Left Center Back,343,2.108133509589706,-0.5177555760346347
statsbomb:player:32712,Jeremie Frimpong,statsbomb:match:3895074,2023-09-15,83.14801666666666,Right Wing Back,Right Wing Back,343,-1.3053736105723814,-1.598160421134631
statsbomb:player:3500,Granit Xhaka,statsbomb:match:3895074,2023-09-15,100.45738333333333,Left Defensive Midfield,Left Defensive Midfield,343,1.8084437369717392,1.1928835859047635
statsbomb:player:8221,Jonathan Tah,statsbomb:match:3895074,2023-09-15,100.45738333333333,Center Back,Center Back,343,1.2123989572812135,-1.3620879072082386
statsbomb:player:8667,Lukáš Hrádecký,statsbomb:match:3895074,2023-09-15,100.45738333333333,Goalkeeper,Goalkeeper,343,2.085553472704982,-3.1024577892044576
statsbomb:player:8804,Jonas Hofmann,statsbomb:match:3895074,2023-09-15,96.89801666666666,Right Wing,Right Wing,343,-0.7182980041628615,-0.01769030646411508
statsbomb:player:9195,Robert Andrich,statsbomb:match:3895074,2023-09-15,47.04801666666666,Right Defensive Midfield,Right Defensive Midfield,343,0.6690019640775858,-1.3023263745314346
statsbomb:player:10336,Alejandro Grimaldo García,statsbomb:match:3895086,2023-09-24,85.25561666666665,Left Wing Back,Left Wing Back,3421,-0.2950918776898661,1.392516921576009
statsbomb:player:27133,Odilon Kossonou,statsbomb:match:3895086,2023-09-24,97.38773333333333,Right Center Back,Right Center Back,3421,0.6581824905947,3.481115109839938
statsbomb:player:28268,Exequiel Alejandro Palacios,statsbomb:match:3895086,2023-09-24,71.67228333333333,Right Defensive Midfield,Right Defensive Midfield,3421,2.10767811669417,3.2262931259294994
statsbomb:player:30606,Edmond Fayçal Tapsoba,statsbomb:match:3895086,2023-09-24,97.38773333333333,Left Center Back,Left Center Back,3421,2.7993986267767057,2.309092202922856
statsbomb:player:32289,Victor Okoh Boniface,statsbomb:match:3895086,2023-09-24,85.37228333333333,Center Forward,Center Forward,3421,-3.171246761147603,-1.1910344974216558
statsbomb:player:32712,Jeremie Frimpong,statsbomb:match:3895086,2023-09-24,79.65561666666666,Right Wing Back,Right Wing Back,3421,-2.1155657358705278,1.3912070104425822
statsbomb:player:3500,Granit Xhaka,statsbomb:match:3895086,2023-09-24,97.38773333333333,Left Defensive Midfield,Left Defensive Midfield,3421,1.420074930071558,1.7117440788918756
statsbomb:player:40724,Florian Wirtz,statsbomb:match:3895086,2023-09-24,71.62228333333333,Left Attacking Midfield,Left Attacking Midfield,3421,-1.420865885484874,2.3859661699540538
statsbomb:player:8221,Jonathan Tah,statsbomb:match:3895086,2023-09-24,97.38773333333333,Center Back,Center Back,3421,2.2885853268810505,-0.7250528349381357
statsbomb:player:8667,Lukáš Hrádecký,statsbomb:match:3895086,2023-09-24,97.38773333333333,Goalkeeper,Goalkeeper,3421,2.848171368622939,-3.235256136389671
statsbomb:player:8804,Jonas Hofmann,statsbomb:match:3895086,2023-09-24,97.38773333333333,Right Attacking Midfield,Right Attacking Midfield,3421,-1.7465956899981756,-0.6492276550987364
statsbomb:player:10336,Alejandro Grimaldo García,statsbomb:match:3895095,2023-09-30,96.33081666666666,Left Wing Back,Left Wing Back,3421,0.31641678822080754,0.7365925860932908
statsbomb:player:27133,Odilon Kossonou,statsbomb:match:3895095,2023-09-30,96.33081666666666,Right Center Back,Right Center Back,3421,-0.1931258562839103,-1.462619007524135
statsbomb:player:28268,Exequiel Alejandro Palacios,statsbomb:match:3895095,2023-09-30,96.33081666666666,Right Defensive Midfield,Right Defensive Midfield,3421,0.909946383861627,0.05067644217670633
statsbomb:player:30606,Edmond Fayçal Tapsoba,statsbomb:match:3895095,2023-09-30,96.33081666666666,Left Center Back,Left Center Back,3421,2.2301809428766584,-0.2836759904248852
statsbomb:player:32289,Victor Okoh Boniface,statsbomb:match:3895095,2023-09-30,80.18406666666667,Center Forward,Center Forward,3421,-1.29535001559337,-2.1909091819975197
statsbomb:player:32712,Jeremie Frimpong,statsbomb:match:3895095,2023-09-30,87.68406666666667,Right Wing Back,Right Wing Back,3421,-1.6687662679102657,-1.2521643223516001
statsbomb:player:33401,Amine Adli,statsbomb:match:3895095,2023-09-30,31.43008333333334,Right Attacking Midfield,,,-3.163923448555456,-0.23328866134531362
statsbomb:player:3500,Granit Xhaka,statsbomb:match:3895095,2023-09-30,80.70073333333333,Left Defensive Midfield,Left Defensive Midfield,3421,0.6084118249929743,0.18796203667165012
statsbomb:player:40724,Florian Wirtz,statsbomb:match:3895095,2023-09-30,64.90073333333333,Right Attacking Midfield,Right Attacking Midfield,3421,-1.5655728712539176,-0.30063526068581364
statsbomb:player:8221,Jonathan Tah,statsbomb:match:3895095,2023-09-30,96.33081666666666,Center Back,Center Back,3421,1.7580757583047453,-0.4378103614305184
statsbomb:player:8667,Lukáš Hrádecký,statsbomb:match:3895095,2023-09-30,96.33081666666666,Goalkeeper,Goalkeeper,3421,2.6031231243950095,-2.9852673981246105
statsbomb:player:8804,Jonas Hofmann,statsbomb:match:3895095,2023-09-30,87.78406666666666,Left Attacking Midfield,Left Attacking Midfield,3421,-0.6291424382842654,-1.5094738632595532
statsbomb:player:10336,Alejandro Grimaldo García,statsbomb:match:3895107,2023-10-08,97.13826666666667,Left Wing Back,Left Wing Back,3421,-0.7285113939155082,0.8583563454660512
statsbomb:player:27133,Odilon Kossonou,statsbomb:match:3895107,2023-10-08,97.13826666666667,Right Center Back,Right Center Back,3421,0.9943335444651547,0.7258292574144433
statsbomb:player:28268,Exequiel Alejandro Palacios,statsbomb:match:3895107,2023-10-08,97.13826666666667,Right Defensive Midfield,Right Defensive Midfield,3421,0.939595437054786,1.084153364928501
statsbomb:player:30606,Edmond Fayçal Tapsoba,statsbomb:match:3895107,2023-10-08,74.59695,Left Center Back,Left Center Back,3421,3.099369455773578,0.7503134797971345
statsbomb:player:32289,Victor Okoh Boniface,statsbomb:match:3895107,2023-10-08,83.81361666666666,Center Forward,Center Forward,3421,-2.339228232343634,-0.5000073409158795
statsbomb:player:32712,Jeremie Frimpong,statsbomb:match:3895107,2023-10-08,83.84695,Right Wing Back,Right Wing Back,3421,-3.1355965207664673,-0.6024300252450335
statsbomb:player:40724,Florian Wirtz,statsbomb:match:3895107,2023-10-08,74.86361666666667,Left Attacking Midfield,Left Attacking Midfield,3421,-1.5507090637469045,1.1387402966273281
statsbomb:player:8221,Jonathan Tah,statsbomb:match:3895107,2023-10-08,97.13826666666667,Center Back,Center Back,3421,2.5861836476060027,-0.5604238090086844
statsbomb:player:8667,Lukáš Hrádecký,statsbomb:match:3895107,2023-10-08,97.13826666666667,Goalkeeper,Goalkeeper,3421,2.3727980373978093,-3.305178712437316
statsbomb:player:8804,Jonas Hofmann,statsbomb:match:3895107,2023-10-08,91.61361666666667,Right Attacking Midfield,Right Attacking Midfield,3421,-2.7314845315129923,0.37021275051460234
statsbomb:player:10336,Alejandro Grimaldo García,statsbomb:match:3895113,2023-10-21,96.30498333333334,Left Wing Back,Left Wing Back,3421,-0.9978630964360937,-0.6380593287618148
statsbomb:player:28268,Exequiel Alejandro Palacios,statsbomb:match:3895113,2023-10-21,96.30498333333334,Right Defensive Midfield,Right Defensive Midfield,3421,0.8145344226961482,0.18708957394240114
statsbomb:player:30606,Edmond Fayçal Tapsoba,statsbomb:match:3895113,2023-10-21,96.30498333333334,Left Center Back,Left Center Back,3421,2.2930632840548837,0.45476231021867286
statsbomb:player:32289,Victor Okoh Boniface,statsbomb:match:3895113,2023-10-21,96.30498333333334,Center Forward,Center Forward,3421,-0.9926568392048433,-0.6877651987097136
statsbomb:player:32712,Jeremie Frimpong,statsbomb:match:3895113,2023-10-21,89.65715,Right Wing Back,Right Wing Back,3421,-3.184152040652524,-0.11141925259190774
statsbomb:player:33401,Amine Adli,statsbomb:match:3895113,2023-10-21,61.573816666666666,Left Attacking Midfield,Left Attacking Midfield,3421,-2.3366086295376456,0.8396961462562059
statsbomb:player:3500,Granit Xhaka,statsbomb:match:3895113,2023-10-21,96.30498333333334,Left Defensive Midfield,Left Defensive Midfield,3421,1.7759206143632293,0.7944881968104419
statsbomb:player:40724,Florian Wirtz,statsbomb:match:3895113,2023-10-21,34.73116666666667,Left Attacking Midfield,,,-0.4229603159040759,1.9143092188187376
statsbomb:player:49337,Josip Stanišić,statsbomb:match:3895113,2023-10-21,89.92381666666667,Right Center Back,Right Center Back,3421,0.5220410697526399,-0.18735537928119717
statsbomb:player:8221,Jonathan Tah,statsbomb:match:3895113,2023-10-21,96.30498333333334,Center Back,Center Back,3421,1.744330439133531,-1.8439349582886915
statsbomb:player:8667,Lukáš Hrádecký,statsbomb:match:3895113,2023-10-21,96.30498333333334,Goalkeeper,Goalkeeper,3421,3.3548110167658907,-2.277495139973521
statsbomb:player:8804,Jonas Hofmann,statsbomb:match:3895113,2023-10-21,89.40715,Right Attacking Midfield,Right Attacking Midfield,3421,-0.44072985897796524,-0.7240608359366139
statsbomb:player:10336,Alejandro Grimaldo García,statsbomb:match:3895121,2023-10-29,91.14146666666666,Left Wing Back,Left Wing Back,3421,-1.173378147049868,-0.5549566116504888
statsbomb:player:27133,Odilon Kossonou,statsbomb:match:3895121,2023-10-29,96.81746666666666,Right Center Back,Right Center Back,3421,1.5036311963407456,1.2820566334633015
statsbomb:player:28268,Exequiel Alejandro Palacios,statsbomb:match:3895121,2023-10-29,96.81746666666666,Right Defensive Midfield,Right Defensive Midfield,3421,1.2131394989930782,2.0808148107874698
statsbomb:player:30606,Edmond Fayçal Tapsoba,statsbomb:match:3895121,2023-10-29,96.81746666666666,Left Center Back,Left Center Back,3421,2.4896784914453582,1.8085824506897352
statsbomb:player:32289,Victor Okoh Boniface,statsbomb:match:3895121,2023-10-29,91.14146666666666,Center Forward,Center Forward,3421,-1.932701222313332,-0.2060930518271061
statsbomb:player:32712,Jeremie Frimpong,statsbomb:match:3895121,2023-10-29,85.8748,Right Wing Back,Right Wing Back,3421,-2.079308709338417,0.5582161607027023
statsbomb:player:3500,Granit Xhaka,statsbomb:match:3895121,2023-10-29,96.81746666666666,Left Defensive Midfield,Left Defensive Midfield,3421,1.218443315542678,1.217675552131488
statsbomb:player:40724,Florian Wirtz,statsbomb:match:3895121,2023-10-29,91.14146666666666,Left Attacking Midfield,Left Attacking Midfield,3421,-1.59397354632564,1.8825736798452875
statsbomb:player:8221,Jonathan Tah,statsbomb:match:3895121,2023-10-29,96.81746666666666,Center Back,Center Back,3421,2.1004553513865414,0.34192869353279626
statsbomb:player:8667,Lukáš Hrádecký,statsbomb:match:3895121,2023-10-29,96.81746666666666,Goalkeeper,Goalkeeper,3421,2.035155091002154,-3.3592860408219645
statsbomb:player:8804,Jonas Hofmann,statsbomb:match:3895121,2023-10-29,85.89146666666666,Right Attacking Midfield,Right Attacking Midfield,3421,-2.472272623635739,0.4147745500964933
statsbomb:player:10336,Alejandro Grimaldo García,statsbomb:match:3895134,2023-11-04,98.10436666666666,Left Wing Back,Left Wing Back,3421,-1.155680325800278,-0.5600676467579602
statsbomb:player:27133,Odilon Kossonou,statsbomb:match:3895134,2023-11-04,47.604416666666665,Right Center Back,Right Center Back,3421,1.5408514313489514,0.9814725963808059
statsbomb:player:28268,Exequiel Alejandro Palacios,statsbomb:match:3895134,2023-11-04,98.10436666666666,Right Defensive Midfield,Right Defensive Midfield,3421,0.8268260161618901,1.0615100818394982
statsbomb:player:30606,Edmond Fayçal Tapsoba,statsbomb:match:3895134,2023-11-04,98.10436666666666,Left Center Back,Left Center Back,3421,2.3343777698695383,-0.30948394842661553
statsbomb:player:32712,Jeremie Frimpong,statsbomb:match:3895134,2023-11-04,98.10436666666666,Right Wing Back,Right Wing Back,3421,-1.870812981365906,0.2690384237365218
statsbomb:player:3500,Granit Xhaka,statsbomb:match:3895134,2023-11-04,98.10436666666666,Left Defensive Midfield,Left Defensive Midfield,3421,0.585835717510067,0.1966127469257057
statsbomb:player:40724,Florian Wirtz,statsbomb:match:3895134,2023-11-04,92.90441666666666,Left Attacking Midfield,Left Attacking Midfield,3421,-1.9725438287738621,0.09974652796750964
statsbomb:player:49337,Josip Stanišić,statsbomb:match:3895134,2023-11-04,50.49995,Right Center Back,,,0.4667164119296794,0.1902567883953018
statsbomb:player:8221,Jonathan Tah,statsbomb:match:3895134,2023-11-04,98.10436666666666,Center Back,Center Back,3421,1.847607704617846,-1.409497561769417
statsbomb:player:8667,Lukáš Hrádecký,statsbomb:match:3895134,2023-11-04,98.10436666666666,Goalkeeper,Goalkeeper,3421,2.622504295520145,-2.819732893306457
statsbomb:player:8804,Jonas Hofmann,statsbomb:match:3895134,2023-11-04,82.03774999999999,Right Attacking Midfield,Right Attacking Midfield,3421,-1.7606499821311619,-0.527101421884349
statsbomb:player:10336,Alejandro Grimaldo García,statsbomb:match:3895139,2023-11-12,93.98913333333333,Left Wing Back,Left Wing Back,3421,-0.663986837198529,-0.3327175755170376
