component,explained_variance_ratio
PC1,0.24462538046642335
PC2,0.20752389574485808
PC3,0.08869585962550924
PC4,0.0762530746985278
PC5,0.06667557461632771
PC6,0.05783583475177316
PC7,0.0530141823453728
PC8,0.0494427160262258
PC9,0.041063839422303385
PC10,0.036783042669916916
PC11,0.026468620462826074
PC12,0.021345987020978008
PC13,0.0145239639065204
PC14,0.009228455892284718
PC15,0.006519572350152499
