player_id,player_name,match_count,valid_cosine_count,cosine_mean,cosine_median,cosine_std,cosine_p10,cosine_p90,centroid_norm,rms_standardized_distance,leave_one_out_cosine_mean
statsbomb:player:28239,Adam Hložek,5,5,0.7032550527934933,0.767603372222869,0.17412682341206673,0.4924214156965033,0.8593160591353903,2.59497095956812,2.4469658134473957,0.5488413900874309
statsbomb:player:10336,Alejandro Grimaldo García,30,30,0.7030919996264515,0.7216076443500701,0.1314512675287762,0.5881562985617669,0.8589153420454767,2.3683516375860916,2.4788993893848383,0.6786772118469202
statsbomb:player:33401,Amine Adli,13,13,0.6202282814405421,0.6756066824399606,0.20022076095801913,0.2820699941768004,0.7832208329066986,2.5565267925445134,3.809120296473691,0.5407941081944189
statsbomb:player:30606,Edmond Fayçal Tapsoba,23,23,0.750377543323918,0.7652501918223736,0.1467009063823796,0.6359077872796928,0.8898239987747169,2.8804909258576035,2.666934837397146,0.7253172824276409
statsbomb:player:28268,Exequiel Alejandro Palacios,21,21,0.6478832223294353,0.7186796122513959,0.22422596245824272,0.43271741697826027,0.8576709409626199,2.389055909400435,2.9438975366971065,0.6086627033165557
statsbomb:player:40724,Florian Wirtz,29,29,0.6107883508050115,0.6349925701354054,0.153431092310506,0.44469743608426526,0.7904916290756967,2.3768377898292536,3.274483954449849,0.5774280016834162
statsbomb:player:3500,Granit Xhaka,29,29,0.6645286057025117,0.7306933684685054,0.24988631050438703,0.29245388876328854,0.8744899095231561,2.5373353240630894,2.8275916273759507,0.6420277502764542
statsbomb:player:32712,Jeremie Frimpong,26,26,0.7987951543416212,0.8384866864982246,0.10117884663284364,0.6278336876618621,0.9123805067422254,3.2277373205624316,2.4918234562986137,0.782004891383347
statsbomb:player:8804,Jonas Hofmann,27,27,0.6478784521630642,0.6755197948832915,0.18294194303408853,0.4694870822297677,0.8232833873690388,2.309317568154477,3.0833498985527648,0.616938966427782
statsbomb:player:8221,Jonathan Tah,30,30,0.7330348140347387,0.7482139333947992,0.10596086088176006,0.5792566919381511,0.8326101739769075,2.127690771694296,2.138127729719238,0.7109234637904779
statsbomb:player:49337,Josip Stanišić,14,14,0.6257177528133101,0.6470568449816937,0.12227726098716853,0.4569167694453618,0.7608435714254236,2.16228712585644,2.7940856930936566,0.5527787884223265
statsbomb:player:8667,Lukáš Hrádecký,33,33,0.9678925340633824,0.972937467124871,0.0212179357960088,0.9433756875490386,0.9915419727641415,4.365170875186164,1.1501011662531877,0.9658065230359076
statsbomb:player:41411,Nathan Tella,9,9,0.7751373274251657,0.7536593186771303,0.12222334231480537,0.6360361177885787,0.9125053383975784,3.0927145829994673,2.596879332129296,0.7131534492579656
statsbomb:player:27133,Odilon Kossonou,20,20,0.599527704388646,0.6163570010323178,0.14964687989566913,0.407406469031507,0.7793202480272211,2.0224027287087054,2.96376753406241,0.5440422764488162
statsbomb:player:7044,Patrik Schick,13,13,0.8169513756570397,0.8532088492502891,0.11525510529745445,0.659131049371881,0.9452599163959308,3.2573811476038883,2.4389540733383326,0.7848034313089047
statsbomb:player:38004,Piero Martín Hincapié Reyna,18,18,0.5974431504386595,0.6818365266450963,0.19741244913888598,0.3494941516637242,0.802344504436145,2.321553324975541,3.2419261452023895,0.5404171758805127
statsbomb:player:9195,Robert Andrich,18,18,0.4317465620619104,0.40972968444675745,0.19730464133461778,0.2016333901612177,0.6602760885931893,1.2261357117637433,2.9277881597271906,0.3181337989487021
statsbomb:player:32289,Victor Okoh Boniface,18,18,0.7713907756409958,0.8455641886519878,0.1851415968822035,0.5247422250800545,0.9216384559397021,3.297021408637895,2.9058586156399446,0.746731299214828
