feature,group,PC1_coefficient,PC2_coefficient,PC3_coefficient,PC4_coefficient,PC5_coefficient,PC6_coefficient,PC7_coefficient,PC8_coefficient,PC9_coefficient,PC10_coefficient,PC11_coefficient,PC12_coefficient,PC13_coefficient,PC14_coefficient,PC15_coefficient,PC1_correlation,PC2_correlation
avg_touch_x,spatial,-0.40940903117588473,0.24875202642059877,0.02031486847741972,0.11031975900656141,0.11568589273978412,0.002454146881276798,-0.2288515804462545,-0.03593239402097824,0.03285428140855138,-0.29855585931395395,0.15746221021327206,-0.058033412004713264,-0.17543737673470278,0.1871863699682492,0.7118116747123766,-0.7842486958117854,0.4388805279374009
avg_touch_y,spatial,-0.04228737901046753,-0.0034726296971201442,-0.2367675263478871,-0.5567803168121569,0.6257088732816506,0.14545643168130995,0.18578311741351397,-0.37769889814037655,0.12151032188529406,-0.11714921833495794,-0.08869233725235035,-0.018978171221550474,0.07116037584849944,0.016922105273177432,-0.015171935102116119,-0.08100412866566753,-0.006126862871161509
halfspace_share,spatial,0.21931327744822648,0.1344489222131661,-0.0006693333308937822,0.5810075439107698,0.34610920958777475,0.002406683085815712,0.17976543522335206,-0.40660066188615773,-0.05503327286104118,0.16298618228118547,0.4762758543310845,0.13753197926411584,-0.014833144856205654,0.0009464564382587332,-0.05700932457442203,0.42010834816950904,0.23721219404965954
passes_p90,involvement,0.19847895368707053,0.4460132660990916,0.05155621472833066,0.046930611070091756,-0.11254602257610967,-0.04486096693203859,-0.17940173547867136,-0.1704740602767485,0.07238811880322064,-0.26104608498830034,-0.1557079565330171,0.051427702634634205,0.6843083854681543,-0.325071194557306,0.08165856900596857,0.38019889333682444,0.7869143440129345
forward_pass_rate,progression,0.44706000378632194,-0.11732275410652623,-0.08936677902956452,-0.03147944273710107,-0.04653485827541243,-0.002731805819245342,0.24907134839661368,0.004285065315270897,0.05683593127975076,0.3560249460499841,-0.27539618748202976,0.14965252974632728,-0.11766250519820802,-0.2331288135602463,0.6455625142654245,0.8563714970137334,-0.2069959911573928
progressive_passes_p90,progression,0.4154126321931828,0.2705096990484043,-0.08055254675053797,0.0433559284278868,-0.00662125216277612,0.011730837858881377,-0.06335193088422732,0.03575176993657493,0.10288497788712853,-0.0038932836356420936,-0.2516162275885142,-0.007459760841307643,0.021009031787510568,0.8152037686610492,-0.038077217256336504,0.7957489703769738,0.4772682306909654
progressive_carries_p90,progression,-0.019278975319684172,0.3681448243935926,-0.17808807354929762,-0.148926366313857,0.25095107536563926,0.15060932512567907,-0.09808088903637999,0.5630648747927431,-0.03864378083628103,0.4789647652306059,0.31073586463597386,-0.16867534426921302,0.1949928777213,-0.05668512802808049,0.027158722919859365,-0.03693008727146153,0.6495287584676446
final_third_entries_p90,progression,0.16298473694070753,0.465961173383039,-0.07611918839857332,0.05698843106619178,0.09655659549065511,0.08892878473610052,-0.25929257994579014,-0.0013271164343328923,0.08762106229191949,-0.09653751692374736,-0.24997801549293006,-0.012630102223137676,-0.63749712057139,-0.3519211728000563,-0.2300258227264243,0.31220749336148457,0.8221090244583626
penalty_area_entries_p90,progression,-0.33735587437154174,0.23228565323761421,-0.281681182091856,-0.05603352500390821,-0.24011871384990302,0.11289908991955994,0.16862658758431245,-0.006324783178444898,0.1252447777698148,0.1158917381432968,0.002076751949476735,0.7815486125523866,-0.003201119639899136,0.06872852114815847,-0.07873158256959084,-0.64622635153025,0.4098284206651469
shot_assists_p90,creation,-0.24393594549140873,0.23954313662081977,-0.2652644020315606,0.023311005683288588,-0.42175211887337033,0.055204364067487424,0.28092180483439144,-0.38332170406521765,0.1675149708771818,0.28248742696152135,-0.03421349272346428,-0.5434998691785631,-0.0217993480242841,0.016259329480997096,-0.016374165278391112,-0.46727461425018224,0.42263301238868395
xg_p90,attacking,-0.27535360569531964,-0.022586745487079604,-0.07500275151424948,0.4688191670239443,0.3374479925497088,-0.12284081933587895,0.37730247192976896,0.3358561083233638,0.27015733448575735,-0.10117949247764614,-0.45005316049408484,-0.09128669241649955,0.12068430336123634,-0.045589444784628765,-0.05821881268702764,-0.5274571143030196,-0.03985046042196226
pressures_p90,defensive,-0.29191751463432836,0.14048507092859816,0.39474635626505816,0.02295555631917251,0.16702305219593844,-0.01029905049436753,-0.1288006134593909,-0.22811518806533945,-0.5048806029614652,0.4384428091729206,-0.42698421364603056,0.06449111818786514,0.05321721316545448,0.0741362019105538,-0.011321099101793575,-0.5591863215109134,0.2478619490408287
recoveries_p90,defensive,0.07751208618247737,0.3215566639785261,-0.025907191740591497,-0.18104652179639147,-0.0543371592579278,-0.44246135591790325,0.5207792000970538,0.14098432949706977,-0.521455671236744,-0.2708270539887015,0.0967569457566888,-0.024630316662278613,-0.1098053888331083,-0.0016346937941608044,0.0063453136242467845,0.14847926613554213,0.5673318946558686
tackles_p90,defensive,-0.029379971931290355,0.17097438324216446,0.5812526713601198,-0.22865184386304904,0.031416088557102914,-0.4377584084450513,0.09990389125234378,-0.022267235880199764,0.5561903929615887,0.18818607159996392,0.14468938228707298,0.058334362398022366,-0.07957468205068595,0.019711215980219743,-0.029187390847340542,-0.05627918027094684,0.3016551409081397
interceptions_p90,defensive,0.05017297539148217,0.13153246037982874,0.48908065402376905,-0.026353537544540565,-0.08305927962222508,0.7264209475095722,0.3977662427920836,0.10555912777592252,-6.44323646412238e-05,-0.1802069042678695,0.041484054758463194,-0.03061736107828233,-0.02603283434049603,0.009001699934993229,0.021187682508804834,0.09610948347366226,0.23206659452412362
