player_id,player_name,match_count,represented_minutes,nominal_positions,avg_touch_x_mean,avg_touch_y_mean,halfspace_share_mean,passes_p90_mean,forward_pass_rate_mean,progressive_passes_p90_mean,progressive_carries_p90_mean,final_third_entries_p90_mean,penalty_area_entries_p90_mean,shot_assists_p90_mean,xg_p90_mean,pressures_p90_mean,recoveries_p90_mean,tackles_p90_mean,interceptions_p90_mean
statsbomb:player:28239,Adam Hložek,5,368.0394,Left Attacking Midfield | Right Attacking Midfield,62.99861819505551,38.975299205158,0.41088863578325363,23.47574743356282,0.3641224793122218,1.7117732503639556,1.222695178831397,1.4672342145976762,1.222695178831397,0.7336171072988381,0.3686357067748724,12.716029859846527,3.6680855364941904,1.222695178831397,0.0
statsbomb:player:10336,Alejandro Grimaldo García,30,2868.1396333333328,Left Wing Back,59.66488839992499,19.36750265388255,0.2533892981220462,65.08051345570821,0.42324791112324495,6.181707401530627,3.2320602150134747,4.393091554387247,3.7027485958406796,1.945511974085781,0.1269080277284036,9.727559870428905,4.738263033660531,1.1924105647622527,0.8786183108774495
statsbomb:player:33401,Amine Adli,13,810.5336333333332,Center Forward | Left Attacking Midfield | Left Back | Left Center Forward | Left Wing | Right Attacking Midfield,65.65582289580408,33.509510939495826,0.32954481468403346,41.084044671969,0.39073227077904016,3.220100798613786,3.6642526329053426,3.3311387571866753,3.109062840040897,1.5545314200204485,0.23758964437790764,24.20627496888984,3.220100798613786,1.5545314200204485,0.666227751437335
statsbomb:player:30606,Edmond Fayçal Tapsoba,23,2201.5358,Left Center Back | Right Center Back,41.57401207099753,37.6792459792187,0.5423544340128449,76.85543882593232,0.7800725986115905,19.663545784719922,6.908813383820513,9.484288195540586,0.40880552566985284,0.2452833154019117,0.03602599766036056,8.053468855696101,5.355352386275072,1.2264165770095585,1.1855360244425732
statsbomb:player:28268,Exequiel Alejandro Palacios,21,1835.4895333333332,Left Defensive Midfield | Right Defensive Midfield,52.070653514539906,47.8119833319029,0.5242629207141155,91.79022649834053,0.584081995319945,12.20927692205491,1.9122963853820942,8.286617669989075,1.323897497572219,1.1277645349689274,0.12087848406145457,15.641603767612514,6.276254803305335,2.647794995144438,1.5200304601755108
statsbomb:player:40724,Florian Wirtz,29,2377.9509500000004,Center Attacking Midfield | Center Forward | Left Attacking Midfield | Left Wing | Right Attacking Midfield | Right Wing,65.16360132003894,42.35314253981478,0.438078874397432,65.93071232188368,0.4777709714060887,7.0018265094997005,5.790699761910563,8.137257835364517,4.806659279494389,2.1951672300053118,0.3069731547616657,22.89786507160713,5.601461207599761,1.2868221693134585,0.6055633737945687
statsbomb:player:3500,Granit Xhaka,29,2743.6069166666666,Left Defensive Midfield | Right Defensive Midfield,52.74553641631802,48.07456371443265,0.5409523968257787,100.34600741365921,0.586449763289906,17.615497215147105,4.297262821572199,12.662163733792891,1.9682119793460453,1.1481236546185263,0.04457962212334657,8.955364506024505,5.6094041411362285,1.1481236546185263,0.4920529948365113
statsbomb:player:32712,Jeremie Frimpong,26,2197.185466666667,Right Attacking Midfield | Right Wing | Right Wing Back,67.61059894395244,84.2001927797918,0.24859022906640857,40.14226442786714,0.35729046471969783,2.1709591986499577,6.8815310447772235,3.809418971215963,5.079225294954617,1.433652300995255,0.3027937741993681,12.943832203271445,4.300956902985765,0.9011528749113031,0.45057643745565157
statsbomb:player:8804,Jonas Hofmann,27,2250.9812666666667,Center Forward | Left Attacking Midfield | Right Attacking Midfield | Right Center Back | Right Wing,64.74069679097849,64.18655192972935,0.37297241388865154,58.81434997282222,0.3829566685492896,4.917855232261817,2.598866586154619,4.677959855078314,3.478482969160798,2.7188142747463706,0.22741263677775608,20.910880377828704,3.518465532024715,0.7996512572783443,0.35984306577525493
statsbomb:player:8221,Jonathan Tah,30,2824.975583333334,Center Back,41.67493364976863,56.530177400293354,0.5207697944643007,68.9103301099328,0.7962962402489383,13.412505305724322,2.9947161490215826,5.607128108806367,0.06371736487279962,0.12743472974559925,0.05753240551843118,6.84961672382596,3.6637484801859785,0.7327496960371958,0.6053149662915964
statsbomb:player:49337,Josip Stanišić,14,1301.8066499999998,Right Center Back | Right Wing Back,49.6589701808821,81.9638383035567,0.30657760281187324,69.96430691147569,0.5343640273668542,9.95539544985425,6.152987465534918,8.365297565502528,1.5900978843517202,0.6913469062398784,0.05459867890519688,12.09857085919787,5.046832415551112,1.8666366468476716,0.6222122156158906
