player_id,player_name,statsbomb:player:28239,statsbomb:player:10336,statsbomb:player:33401,statsbomb:player:30606,statsbomb:player:28268,statsbomb:player:40724,statsbomb:player:3500,statsbomb:player:32712,statsbomb:player:8804,statsbomb:player:8221,statsbomb:player:49337,statsbomb:player:8667,statsbomb:player:41411,statsbomb:player:27133,statsbomb:player:7044,statsbomb:player:38004,statsbomb:player:9195,statsbomb:player:32289
statsbomb:player:28239,Adam Hložek,1.0,0.2911343482971381,0.6096195020098466,-0.6798055475476473,-0.3772981015311858,-0.010649992658137649,-0.6752206482101787,0.21545252908593712,0.3576987573570623,-0.3776347347642111,-0.43906533283564597,0.026274337664731626,0.5774483266894186,-0.6360374550070104,0.8863045667509705,-0.34305620385319857,-0.27293276046569903,0.7604116243136116
statsbomb:player:10336,Alejandro Grimaldo García,0.2911343482971381,1.0,0.5357163890585249,-0.34188263547828984,-0.12328267792081127,0.31387706180664554,-0.22630663107542967,0.1230095600555338,0.20801210095576717,-0.6405763841171305,-0.36223398829926884,-0.23955901330080376,0.22747759975217835,-0.5974192689284764,0.03260251525132937,0.16210041167861156,-0.3923459514580167,0.16762423029031773
statsbomb:player:33401,Amine Adli,0.6096195020098466,0.5357163890585248,0.9999999999999999,-0.6430120814020537,-0.18632284553607903,0.594156518827327,-0.5943717203200262,0.3691011216431576,0.6488379742651964,-0.7889985323096973,-0.2752849387691283,-0.4568639241118351,0.5738227626329288,-0.6442010234975194,0.5163001811737654,-0.11599742950098596,-0.4309314952334336,0.456271051967023
statsbomb:player:30606,Edmond Fayçal Tapsoba,-0.6798055475476473,-0.34188263547828984,-0.6430120814020537,1.0,0.4000540980230572,-0.23749168267253568,0.6911276521645875,-0.6555194854230862,-0.8016027699935587,0.6439107936423512,0.04546673380755871,0.1721056180824196,-0.8373752119011887,0.41535354416629516,-0.6559805878869761,0.6779381790852659,0.47062513906771936,-0.5151197819078653
statsbomb:player:28268,Exequiel Alejandro Palacios,-0.3772981015311858,-0.12328267792081127,-0.18632284553607903,0.4000540980230571,1.0,0.12269391510295162,0.5622866749740392,-0.522042072043454,-0.19457804718520003,0.1526680983824834,0.06397596678735645,-0.32619772554390963,-0.34145497538111247,0.2328412675663437,-0.4228688590028902,0.3717327637604949,0.7913799179329593,-0.49484298537707694
statsbomb:player:40724,Florian Wirtz,-0.010649992658137658,0.31387706180664554,0.594156518827327,-0.23749168267253568,0.12269391510295166,1.0,0.06330723084818814,0.3564589517571954,0.5741271224991215,-0.7397129287249554,-0.07000854849953897,-0.7842983150059127,0.1676539756984251,-0.3550281298250965,-0.033890990498675146,-0.16043998518023625,-0.2884167597071961,0.17629299618270458
statsbomb:player:3500,Granit Xhaka,-0.6752206482101787,-0.2263066310754297,-0.5943717203200262,0.6911276521645877,0.5622866749740392,0.06330723084818814,1.0,-0.48533213474784187,-0.35092194723643466,0.37524196012043326,0.1343657968167194,-0.23114096152082328,-0.7129019573138768,0.33910341724718657,-0.6200962881264046,0.38107598464443493,0.5402564841584596,-0.5484312159739618
statsbomb:player:32712,Jeremie Frimpong,0.21545252908593712,0.1230095600555338,0.36910112164315767,-0.6555194854230862,-0.522042072043454,0.3564589517571954,-0.48533213474784187,1.0,0.6138943556672025,-0.6400364701632522,0.46621074988755445,-0.36491187478971093,0.7809579123697641,0.11411562697839313,0.2848022074928854,-0.6637792426705535,-0.7526544940598808,0.3082916589388024
statsbomb:player:8804,Jonas Hofmann,0.3576987573570623,0.20801210095576717,0.6488379742651964,-0.8016027699935587,-0.19457804718520003,0.5741271224991215,-0.35092194723643466,0.6138943556672024,0.9999999999999998,-0.6775915063015582,0.03758737875624867,-0.5015564402526267,0.5982691209559209,-0.2969319334035172,0.4473643741214733,-0.6541846427477547,-0.3612662765805689,0.2792963616957906
statsbomb:player:8221,Jonathan Tah,-0.3776347347642111,-0.6405763841171305,-0.7889985323096973,0.6439107936423512,0.1526680983824834,-0.7397129287249554,0.37524196012043326,-0.6400364701632522,-0.6775915063015582,1.0,-0.015503738488353468,0.6627965268074268,-0.650775493420419,0.41999059105758596,-0.24944637804318598,0.2813302144759103,0.6064092365041663,-0.3692064357132588
statsbomb:player:49337,Josip Stanišić,-0.43906533283564597,-0.3622339882992689,-0.2752849387691283,0.04546673380755875,0.06397596678735645,-0.07000854849953897,0.1343657968167194,0.46621074988755445,0.03758737875624867,-0.015503738488353493,0.9999999999999998,-0.16558726395443424,0.27210519009659,0.8131517847114165,-0.4021135617145143,-0.12942078544773478,-0.08529702164393843,-0.5081579308976452
statsbomb:player:8667,Lukáš Hrádecký,0.026274337664731647,-0.23955901330080376,-0.4568639241118351,0.1721056180824196,-0.32619772554390963,-0.7842983150059127,-0.2311409615208233,-0.36491187478971093,-0.5015564402526267,0.6627965268074268,-0.16558726395443424,1.0,-0.2541202265257605,0.0745574545318088,-0.04093311547623988,0.05056104279248753,0.11614953609851938,-0.10358357509706669
statsbomb:player:41411,Nathan Tella,0.5774483266894186,0.22747759975217835,0.5738227626329288,-0.8373752119011887,-0.34145497538111247,0.16765397569842502,-0.7129019573138768,0.7809579123697641,0.5982691209559209,-0.650775493420419,0.27210519009659,-0.2541202265257605,0.9999999999999998,-0.10800443507170454,0.5285974928855711,-0.5402603145533044,-0.5522701986700643,0.43492910856835176
statsbomb:player:27133,Odilon Kossonou,-0.6360374550070104,-0.5974192689284764,-0.6442010234975194,0.41535354416629516,0.2328412675663437,-0.3550281298250965,0.3391034172471866,0.11411562697839313,-0.29693193340351715,0.41999059105758596,0.8131517847114165,0.0745574545318088,-0.10800443507170455,0.9999999999999998,-0.4862048881183394,-0.03389046374323308,0.21146542971238885,-0.6232628159155418
