group,n_rows,n_players,z1,z1_variance,z2,z2_variance,z3,z3_variance,z4,z4_variance,avg_touch_x_mean,avg_touch_y_mean,halfspace_share_mean,passes_p90_mean,forward_pass_rate_mean,progressive_passes_p90_mean,progressive_carries_p90_mean,final_third_entries_p90_mean,penalty_area_entries_p90_mean,shot_assists_p90_mean,xg_p90_mean,pressures_p90_mean,recoveries_p90_mean,tackles_p90_mean,interceptions_p90_mean
attacking_midfielder,61,7,-3.259039135252843,2.627911255346261,-1.6148964430465074,3.158510409053753,-0.19308973268651572,3.3941345596495616,-2.098515756306101,2.228364313066421,65.21348303737709,50.4068213230576,0.3854668305513573,54.09241339131944,0.4229122348421474,5.060711840831271,3.8191967612645557,5.366263632092339,3.68922544191544,2.008204999204361,0.2706547848742778,21.675903289429545,4.363732959438144,0.9839858095327939,0.45741706493328776
central_midfielder,64,3,-1.030063041485846,0.5512464940661397,-0.9973051699344069,1.467062034908035,-0.24408290040446445,1.4776708224727941,0.33807852934114635,0.5127230466237529,52.32653464821301,47.98376308816732,0.5279710716487107,91.33087752759329,0.581466762090912,13.686961264527664,2.9733615357762226,9.869168376224511,1.6181474875119335,1.1451064595946532,0.08892959979133044,11.940569560248445,5.447965114255627,1.79110694235822,0.9643448866487948
centre_back,104,7,-1.0560293906869798,1.6877845939959215,-0.6283275755122304,2.6472808183538965,0.9298244902434257,1.825413509611359,1.3748698989645793,1.7520685507402094,44.07973883902778,53.940297733000534,0.46966217792302467,73.21243774609128,0.7136437866019745,14.993413930775485,5.1815642275639355,7.935592151862077,0.7407114228622412,0.4014988569220372,0.061916093174394456,8.722640393184625,4.395277196985485,1.2184308007623175,0.9241426919506128
striker,33,5,-4.632665439085527,4.781496932084532,-1.3823092615965642,2.5008507743934323,2.8605627954909294,2.4011955561577403,-2.8191063873695605,1.8124158030352355,68.701374949153,43.136598290947255,0.47936960184751276,22.73600269507956,0.38455490521215324,1.6532889660834083,2.5361784072961195,2.3256783798956726,2.1004150277891207,0.7448415572749932,0.6783821489675445,14.695443280479727,2.332325429098043,0.6254877351937721,0.2814638550499251
wing_back,65,5,-3.2292270201903124,3.557251438558774,-1.2789180228343378,2.239708289747071,-0.3468779298548515,1.5794049623784592,-2.4625306668189855,2.514943422584194,62.794199915501736,52.009165708502245,0.24024572825232943,52.90232708178591,0.4000508850520223,4.2166969809873365,4.516746975461026,3.8482115968883144,3.961418134429405,1.5756816697307547,0.21295251772904564,11.60539271136716,4.58159510321385,1.3766756997145861,0.6925450507999507
