seed,best_epoch,ae_mse,ae_neighbour_overlap,ae_cohesion,pca_mse,pca_neighbour_overlap,pca_cohesion,chance
42,165,0.42766139344253584,0.5370370370370371,0.481811023429569,0.4848362052472725,0.6185185185185185,0.4945805072729824,0.09433962264150944
43,161,0.49348093832404166,0.46181818181818174,0.537964414163465,0.4201408498305956,0.5563636363636364,0.6190142087590406,0.09259259259259259
44,244,0.40965474817430353,0.4714285714285715,0.5276511962699719,0.4288300258868455,0.5678571428571428,0.47852790774799786,0.09090909090909091
45,377,0.4158950536307989,0.4836363636363636,0.4770395087477654,0.45057209807942067,0.5563636363636364,0.5412649681200036,0.09259259259259259
46,272,0.34470801356102965,0.48771929824561405,0.5866358105547395,0.42912815940487514,0.5754385964912282,0.527037596645357,0.08928571428571429
47,500,0.3463308060802992,0.5381818181818181,0.41223405846474115,0.35842291506319657,0.5854545454545453,0.4336236615983051,0.09259259259259259
48,382,0.43587380680724025,0.5236363636363637,0.5580985776082686,0.4156194104540782,0.5418181818181819,0.5918905329592639,0.09259259259259259
49,337,0.31233883975223653,0.5017543859649123,0.46675332212186704,0.3126460686881124,0.6000000000000001,0.5859088776188797,0.08928571428571429
50,500,0.287916428916175,0.6074074074074074,0.4652863872582766,0.2969061243004241,0.6259259259259259,0.47117414842215466,0.09433962264150944
51,494,0.4159068251372083,0.4618181818181818,0.6043465309884493,0.44867621829626414,0.610909090909091,0.514497914375103,0.09259259259259259
