record_type,player_id,player_name,matches,minutes,low_confidence,z1_mean,z1_median,z1_std,z2_mean,z2_median,z2_std,z3_mean,z3_median,z3_std,z4_mean,z4_median,z4_std,rms_spread,z1,z2,z3,z4,cosine_similarity,euclidean_distance,cosine_rank,euclidean_rank,match_id,split,distance_to_season_mean,group,n_rows,n_players
season_mean,statsbomb:player:40724,Florian Wirtz,29,2377.95095,False,-3.375161582025988,-3.0954818725585938,1.5649355661437814,-2.7934893020268143,-2.9349021911621094,1.527887938182522,-0.7439389935341375,-0.6845853328704834,1.5365914439390151,-1.227562444991079,-0.8793326020240784,1.0962220848762967,2.888993077662617,-3.375161582025988,-2.7934893020268143,-0.7439389935341375,-1.227562444991079,,,,,,,,,,
neighbour_player,statsbomb:player:32712,Jeremie Frimpong,26,,,,,,,,,,,,,,,,-5.2460002440672655,-2.5210698453279643,-0.2742377124153651,-3.782168434216426,0.790085405564659,3.212612754977967,1,6,,,,,,
neighbour_player,statsbomb:player:8804,Jonas Hofmann,27,,,,,,,,,,,,,,,,-3.401693008564137,-1.3359103062086635,-0.7885026466791276,-2.915766523944007,0.7486319804579881,2.230977224675171,2,2,,,,,,
neighbour_player,statsbomb:player:33401,Amine Adli,13,,,,,,,,,,,,,,,,-3.056043097606072,-1.036505908347093,-0.20098147827845353,-2.391532150598673,0.6829724764366882,2.199648970110829,3,1,,,,,,
neighbour_player,statsbomb:player:49337,Josip Stanišić,14,,,,,,,,,,,,,,,,-1.799378092799868,-1.2523202630026,0.14941711404493876,-0.06111351400613785,0.4621994786812819,2.6489590135200687,4,3,,,,,,
neighbour_player,statsbomb:player:41411,Nathan Tella,9,,,,,,,,,,,,,,,,-3.9793629116482205,-0.5568760517570708,0.463290015856425,-4.23006624645657,0.42987754101665615,3.9799408333451773,5,9,,,,,,
neighbour_player,statsbomb:player:10336,Alejandro Grimaldo García,30,,,,,,,,,,,,,,,,-1.810935366153717,-0.6035104542970657,-0.4383655894547701,-1.2629306629300117,0.4240001801980972,2.7087703896872894,6,4,,,,,,
neighbour_player,statsbomb:player:32289,Victor Okoh Boniface,18,,,,,,,,,,,,,,,,-5.614954206678602,-2.1759491049581103,3.428739971584744,-2.9615859819783106,0.3117716380864149,5.080956038898111,7,15,,,,,,
neighbour_player,statsbomb:player:3500,Granit Xhaka,29,,,,,,,,,,,,,,,,-1.1933354170157993,-1.5920363710872059,-0.4850855582746966,0.7158213129331326,0.2776469399247141,3.1697949604186837,8,5,,,,,,
neighbour_player,statsbomb:player:28268,Exequiel Alejandro Palacios,21,,,,,,,,,,,,,,,,-0.9355232673031944,-0.7494952284864017,-0.3399551503715061,0.006519150875863575,0.025770575722284913,3.437427411615517,9,7,,,,,,
neighbour_player,statsbomb:player:7044,Patrik Schick,13,,,,,,,,,,,,,,,,-3.960468897452721,-0.333730725141672,3.0442490119200487,-2.948025483351487,-0.02742316225451763,4.8686094874289685,10,14,,,,,,
neighbour_player,statsbomb:player:28239,Adam Hložek,5,,,,,,,,,,,,,,,,-2.933675217628479,-0.23053739070892335,2.324002814292908,-1.926172685623169,-0.20277937488148012,4.0821508931206925,11,10,,,,,,
neighbour_player,statsbomb:player:27133,Odilon Kossonou,20,,,,,,,,,,,,,,,,-1.2463614717125893,-1.028867680951953,0.5197006516158581,0.9122334226965905,-0.20716215510471586,3.7176862271314994,12,8,,,,,,
neighbour_player,statsbomb:player:30606,Edmond Fayçal Tapsoba,23,,,,,,,,,,,,,,,,-0.8219296472228091,-0.9499825044818546,0.7781685542153276,2.014092092928679,-0.36046032903965636,4.7689250524227065,13,13,,,,,,
neighbour_player,statsbomb:player:38004,Piero Martín Hincapié Reyna,18,,,,,,,,,,,,,,,,-0.7618481053246392,-0.3511716305381722,0.3398821817504035,0.4572857750786675,-0.4318003067505098,4.099720088084301,14,11,,,,,,
neighbour_player,statsbomb:player:9195,Robert Andrich,18,,,,,,,,,,,,,,,,-0.9123584098286099,-0.22393841503394973,0.5950218656410774,0.5040961793727345,-0.5680962280188472,4.178450550092473,15,12,,,,,,
neighbour_player,statsbomb:player:8221,Jonathan Tah,30,,,,,,,,,,,,,,,,-0.6954199572404226,0.375181540598472,2.0017797787984213,1.985747508207957,-0.8087972504366935,5.923328668627078,16,16,,,,,,
neighbour_player,statsbomb:player:8667,Lukáš Hrádecký,33,,,,,,,,,,,,,,,,-1.9919860471378674,2.183084878054532,5.954739613966509,3.17418250170621,-0.8518223925075685,9.535571235774356,17,17,,,,,,
player_match,statsbomb:player:40724,Florian Wirtz,,77.60658333333335,,,,,,,,,,,,,,,-4.472473621368408,-1.4575114250183105,2.815568208694458,-2.3202013969421387,,,,,statsbomb:match:3895052,train,4.105226181537374,,,
player_match,statsbomb:player:40724,Florian Wirtz,,99.82418333333334,,,,,,,,,,,,,,,-4.934791088104248,-3.9914753437042236,-4.635351657867432,-3.5588767528533936,,,,,statsbomb:match:3895060,test,4.944262703220867,,,
player_match,statsbomb:player:40724,Florian Wirtz,,83.51086666666667,,,,,,,,,,,,,,,-2.140084981918335,-2.0284602642059326,-0.7412309646606445,-0.5493089556694031,,,,,statsbomb:match:3895067,val,1.6033461154847484,,,
player_match,statsbomb:player:40724,Florian Wirtz,,71.62228333333333,,,,,,,,,,,,,,,-2.9927501678466797,-3.0892505645751953,-2.558168888092041,-1.3613414764404297,,,,,statsbomb:match:3895086,test,1.8822965105641403,,,
player_match,statsbomb:player:40724,Florian Wirtz,,64.90073333333333,,,,,,,,,,,,,,,-2.050917625427246,-1.0295686721801758,0.8037652969360352,-0.7100355625152588,,,,,statsbomb:match:3895095,train,2.7437676085652325,,,
player_match,statsbomb:player:40724,Florian Wirtz,,74.86361666666667,,,,,,,,,,,,,,,-2.0466785430908203,-1.9369547367095947,-0.5158504843711853,-0.6741661429405212,,,,,statsbomb:match:3895107,train,1.6902042721094357,,,
player_match,statsbomb:player:40724,Florian Wirtz,,34.73116666666667,,,,,,,,,,,,,,,-2.7534279823303223,-2.9349021911621094,-0.0028426796197891235,0.16171953082084656,,,,,statsbomb:match:3895113,train,1.6987873407279217,,,
player_match,statsbomb:player:40724,Florian Wirtz,,91.14146666666666,,,,,,,,,,,,,,,-4.194270610809326,-4.218602657318115,-0.7090611457824707,-0.5327885746955872,,,,,statsbomb:match:3895121,test,1.784885114390609,,,
player_match,statsbomb:player:40724,Florian Wirtz,,92.90441666666666,,,,,,,,,,,,,,,-3.1557228565216064,-1.9078419208526611,0.6849418878555298,-1.3554980754852295,,,,,statsbomb:match:3895134,train,1.7001743254097421,,,
player_match,statsbomb:player:40724,Florian Wirtz,,87.96711666666667,,,,,,,,,,,,,,,-4.247045993804932,-4.378048419952393,-1.646080493927002,-0.8277351260185242,,,,,statsbomb:match:3895139,train,2.060274544188728,,,
player_match,statsbomb:player:40724,Florian Wirtz,,81.18211666666666,,,,,,,,,,,,,,,-3.0954818725585938,-3.0614190101623535,-0.10220173001289368,-0.25684937834739685,,,,,statsbomb:match:3895153,val,1.2264247394495422,,,
player_match,statsbomb:player:40724,Florian Wirtz,,98.57655,,,,,,,,,,,,,,,-3.2940075397491455,-2.6250102519989014,-1.2290997505187988,-1.3221464157104492,,,,,statsbomb:match:3895158,train,0.5284867609610971,,,
player_match,statsbomb:player:40724,Florian Wirtz,,99.17123333333332,,,,,,,,,,,,,,,-3.6249754428863525,-4.375389575958252,0.22122631967067719,0.852931559085846,,,,,statsbomb:match:3895167,test,2.7972870472220226,,,
player_match,statsbomb:player:40724,Florian Wirtz,,87.96331666666667,,,,,,,,,,,,,,,-5.644430637359619,-5.584730625152588,0.36795759201049805,-0.4094790816307068,,,,,statsbomb:match:3895180,val,3.8530746911748994,,,
