player_id,player_name,matches,minutes,low_confidence,z1_mean,z1_median,z1_std,z2_mean,z2_median,z2_std,z3_mean,z3_median,z3_std,z4_mean,z4_median,z4_std,rms_spread
statsbomb:player:28239,Adam Hložek,5,368.0394,False,-2.933675217628479,-3.1230058670043945,1.215432832162699,-0.23053739070892335,0.2905547618865967,0.8432156117231244,2.324002814292908,2.4144136905670166,0.9955927198037541,-1.926172685623169,-1.8724677562713623,0.9289947361948894,2.0106032977583346
statsbomb:player:10336,Alejandro Grimaldo García,30,2868.139633333333,False,-1.810935366153717,-1.78450208902359,0.6326120601293692,-0.6035104542970657,-0.5016317367553711,0.8818908686852637,-0.4383655894547701,-0.15359803661704063,1.6554137365752306,-1.2629306629300117,-1.1030035018920898,0.9538393059546528,2.1973014321475315
statsbomb:player:33401,Amine Adli,13,810.5336333333333,False,-3.056043097606072,-2.3342349529266357,2.090441898868371,-1.036505908347093,-0.6231032013893127,2.1446717144127976,-0.20098147827845353,-0.0845392495393753,2.3924119848516043,-2.391532150598673,-1.9218852519989014,1.3684081120929914,4.070103188083839
statsbomb:player:30606,Edmond Fayçal Tapsoba,23,2201.5358,False,-0.8219296472228091,-0.6615681052207947,0.5818876440121747,-0.9499825044818546,-0.7997260689735413,1.4208067953564172,0.7781685542153276,0.4825977683067322,1.0772693486464522,2.014092092928679,2.0224030017852783,0.5184312547130162,1.9459099145082421
statsbomb:player:28268,Exequiel Alejandro Palacios,21,1835.4895333333334,False,-0.9355232673031944,-0.5938231348991394,0.7306793935450548,-0.7494952284864017,-0.36041325330734253,0.902752470856295,-0.3399551503715061,-0.09767170250415802,1.2080428808032295,0.006519150875863575,0.12366129457950592,0.6548449287562678,1.7991786688279967
statsbomb:player:40724,Florian Wirtz,29,2377.95095,False,-3.375161582025988,-3.0954818725585938,1.5649355661437814,-2.7934893020268143,-2.9349021911621094,1.527887938182522,-0.7439389935341375,-0.6845853328704834,1.5365914439390151,-1.227562444991079,-0.8793326020240784,1.0962220848762967,2.888993077662617
statsbomb:player:3500,Granit Xhaka,29,2743.6069166666666,False,-1.1933354170157993,-0.8631097674369812,0.841443491793668,-1.5920363710872059,-1.156486988067627,1.311373472554153,-0.4850855582746966,-0.22983168065547943,1.0897960486963287,0.7158213129331326,0.7250660061836243,0.5146191769033664,1.9698263525984945
statsbomb:player:32712,Jeremie Frimpong,26,2197.185466666667,False,-5.2460002440672655,-5.331813097000122,1.2340101277404165,-2.5210698453279643,-2.5916531085968018,1.3652457296980096,-0.2742377124153651,-0.39859193563461304,0.9336679376226266,-3.782168434216426,-3.98498272895813,1.0764766375830317,2.3274910669712847
statsbomb:player:8804,Jonas Hofmann,27,2250.9812666666667,False,-3.401693008564137,-3.015592575073242,2.0132444377951053,-1.3359103062086635,-1.245680570602417,1.6889333549161163,-0.7885026466791276,-0.7284226417541504,1.568125089434237,-2.915766523944007,-2.932464122772217,1.6427935991444675,3.473245765730422
statsbomb:player:8221,Jonathan Tah,30,2824.9755833333334,False,-0.6954199572404226,-0.651250571012497,0.38803786830800346,0.375181540598472,0.5341577529907227,0.7904985124427347,2.0017797787984213,2.1195098161697388,1.1053848955044323,1.985747508207957,2.1079477071762085,0.5710737449455688,1.524290744835347
statsbomb:player:49337,Josip Stanišić,14,1301.80665,False,-1.799378092799868,-1.6594665050506592,0.876958414262947,-1.2523202630026,-0.8988390862941742,1.4905053413527394,0.14941711404493876,0.15500136092305183,0.39686400957186285,-0.06111351400613785,0.18282198905944824,1.2572709969717502,2.174601948602876
statsbomb:player:8667,Lukáš Hrádecký,33,3215.1792,False,-1.9919860471378674,-1.983079195022583,0.1715670897519963,2.183084878054532,2.19848895072937,0.11958952850121977,5.954739613966509,5.9536237716674805,0.2831600833662944,3.17418250170621,3.1908481121063232,0.2482948379889978,0.4307747450781012
statsbomb:player:41411,Nathan Tella,9,668.0910666666666,False,-3.9793629116482205,-4.18182897567749,0.9163810231382667,-0.5568760517570708,-0.39011451601982117,0.9123824061012501,0.463290015856425,0.2446623146533966,1.0264705165153682,-4.23006624645657,-3.858426809310913,1.007056500380302,1.9339080512693956
statsbomb:player:27133,Odilon Kossonou,20,1857.0432,False,-1.2463614717125893,-0.9642235934734344,0.9989451013105568,-1.028867680951953,-0.5618447661399841,1.648900959031745,0.5197006516158581,0.445362389087677,0.7020478867331292,0.9122334226965905,0.9022317826747894,1.0216125809130954,2.2920142209145506
statsbomb:player:7044,Patrik Schick,13,955.9917833333334,False,-3.960468897452721,-3.395458936691284,1.4087740801880524,-0.333730725141672,0.031848564743995667,1.209182657174935,3.0442490119200487,3.22111439704895,1.0298137010630934,-2.948025483351487,-3.060725688934326,0.8643715516363284,2.2922525047642086
statsbomb:player:38004,Piero Martín Hincapié Reyna,18,1517.2279666666666,False,-0.7618481053246392,-0.5558698177337646,0.5584043142204657,-0.3511716305381722,-0.4408655911684036,0.8807750369780923,0.3398821817504035,0.2405812069773674,0.8583287984701743,0.4572857750786675,0.7642905414104462,1.2793868631731946,1.860413694812847
statsbomb:player:9195,Robert Andrich,18,1691.9086,False,-0.9123584098286099,-0.7234764099121094,0.6384234933615228,-0.22393841503394973,-0.03190619871020317,1.2331484535021413,0.5950218656410774,0.598187267780304,1.5013882730761985,0.5040961793727345,0.35218341648578644,1.101712313711004,2.3229671616197756
statsbomb:player:32289,Victor Okoh Boniface,18,1395.5443333333333,False,-5.614954206678602,-4.7715904712677,2.3037121330985406,-2.1759491049581103,-2.0820640325546265,1.4903570295540194,3.428739971584744,3.4327073097229004,1.324197711736968,-2.9615859819783106,-2.992957830429077,1.5666768640889839,3.4258180984937923
