match_id,period,team_id,window_start_s,window_end_s,sample_interval_s,entity_id,player_id,track_ids,input_rows,observed_frames,expected_frames,visible_fraction,time_span_s,tracking_avg_x_m,tracking_avg_y_m,tracking_left_wide_occupancy,tracking_left_halfspace_occupancy,tracking_central_occupancy,tracking_right_halfspace_occupancy,tracking_right_wide_occupancy,tracking_halfspace_occupancy,valid_nearest_teammate_frames,mean_nearest_teammate_distance_m,median_nearest_teammate_distance_m,valid_nearest_opponent_frames,mean_nearest_opponent_distance_m,median_nearest_opponent_distance_m,mean_local_teammates_r5,valid_local_teammates_r5_frames,mean_local_opponents_r5,valid_local_opponents_r5_frames,mean_local_teammates_r10,valid_local_teammates_r10_frames,mean_local_opponents_r10,valid_local_opponents_r10_frames
skillcorner:match:1886347,1,skillcorner:team:1805,0.0,30.0,0.1,player:skillcorner:player:176224,skillcorner:player:176224,skillcorner:track:177779,300,154,300,0.5133333333333333,29.9,29.992854020979017,44.43623376623377,0.0,0.0,0.2597402597402597,0.7402597402597403,0.0,0.7402597402597403,154,11.120284106893397,10.822655973001066,154,14.627060364560151,16.064754069566277,0.0,154,0.0,154,0.2727272727272727,154,0.19480519480519481,154
skillcorner:match:1886347,1,skillcorner:team:1805,0.0,30.0,0.1,player:skillcorner:player:50978,skillcorner:player:50978,skillcorner:track:52104,300,228,300,0.76,29.9,48.28481148785425,28.555438596491225,0.0,0.6929824561403509,0.11842105263157894,0.18859649122807018,0.0,0.8815789473684211,228,9.75194576690527,9.349020729918324,228,6.214706232201839,7.127182749044524,0.0,228,0.39035087719298245,228,0.6929824561403509,228,1.6228070175438596,228
skillcorner:match:1886347,1,skillcorner:team:1805,0.0,30.0,0.1,player:skillcorner:player:50983,skillcorner:player:50983,skillcorner:track:52109,300,195,300,0.65,29.9,50.87451923076923,59.59841025641025,0.0,0.0,0.0,0.2153846153846154,0.7846153846153846,0.2153846153846154,195,14.33936962789219,14.657235627839253,195,13.286778313112894,14.966295744806246,0.0,195,0.2205128205128205,195,0.16923076923076924,195,0.2923076923076923,195
skillcorner:match:1886347,1,skillcorner:team:1805,0.0,30.0,0.1,player:skillcorner:player:51009,skillcorner:player:51009,skillcorner:track:52135,300,36,300,0.12,3.5,6.450040064102564,41.95583333333334,0.0,0.0,0.0,1.0,0.0,1.0,36,17.191135509022654,16.830935345742915,36,21.005767066950437,21.09064494917373,0.0,36,0.0,36,0.0,36,0.0,36
skillcorner:match:1886347,1,skillcorner:team:1805,0.0,30.0,0.1,player:skillcorner:player:51649,skillcorner:player:51649,skillcorner:track:52775,300,147,300,0.49,29.9,28.914010989010983,32.81843537414966,0.0,0.2653061224489796,0.4421768707482993,0.2925170068027211,0.0,0.5578231292517006,147,10.414928994654614,10.158285016421425,147,12.483967495469512,11.15636204425528,0.0,147,0.04081632653061224,147,0.36054421768707484,147,0.5510204081632653,147
skillcorner:match:1886347,1,skillcorner:team:1805,0.0,30.0,0.1,player:skillcorner:player:735573,skillcorner:player:735573,skillcorner:track:737136,300,205,300,0.6833333333333333,24.2,60.665276735459656,13.467951219512196,0.3463414634146341,0.6536585365853659,0.0,0.0,0.0,0.6536585365853659,205,11.596599477843682,11.125259547534156,205,5.3623591059231135,5.63541475033418,0.0,205,0.4195121951219512,205,0.4682926829268293,205,1.9658536585365853,205
skillcorner:match:1886347,1,skillcorner:team:1805,0.0,30.0,0.1,player:skillcorner:player:735574,skillcorner:player:735574,skillcorner:track:737137,300,219,300,0.73,29.9,48.55364857744994,35.54123287671233,0.0,0.1963470319634703,0.6027397260273972,0.1735159817351598,0.0273972602739726,0.3698630136986301,219,11.168369907183672,11.139571636737207,219,6.026363270430335,5.695207428810164,0.0,219,0.4474885844748858,219,0.1598173515981735,219,1.1917808219178083,219
skillcorner:match:1886347,1,skillcorner:team:1805,0.0,30.0,0.1,player:skillcorner:player:735578,skillcorner:player:735578,skillcorner:track:737141,300,167,300,0.5566666666666666,29.9,35.229833602026716,18.187485029940124,0.3652694610778443,0.3772455089820359,0.25748502994011974,0.0,0.0,0.3772455089820359,167,12.582991541390523,11.865082679505194,167,9.133161092653921,6.049933602745831,0.0,167,0.4431137724550898,167,0.1497005988023952,167,0.6706586826347305,167
skillcorner:match:1886347,1,skillcorner:team:1805,0.0,30.0,0.1,player:skillcorner:player:795505,skillcorner:player:795505,skillcorner:track:797068,300,213,300,0.71,24.2,63.395361592632725,46.79056338028169,0.0,0.0,0.29577464788732394,0.48826291079812206,0.215962441314554,0.48826291079812206,213,13.771151859563666,12.47755476302449,213,7.1405121974791035,7.929066073276137,0.0,213,0.26291079812206575,213,0.0,213,1.1314553990610328,213
skillcorner:match:1886347,1,skillcorner:team:1805,0.0,30.0,0.1,player:skillcorner:player:795507,skillcorner:player:795507,skillcorner:track:797070,300,199,300,0.6633333333333333,22.8,66.11631233088518,23.672060301507535,0.08542713567839195,0.6884422110552764,0.22613065326633167,0.0,0.0,0.6884422110552764,199,8.29432054538238,8.469201648473131,199,4.358719621685916,4.058189196700048,0.1507537688442211,199,0.9698492462311558,199,1.135678391959799,199,2.819095477386935,199
